date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:46	25233/25233	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:45%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=490	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0f23.html	(from http://recept.mohem.se/)
19:45:48	30346/30346	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:46%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=425	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipec549.html	(from http://recept.mohem.se/)
19:45:49	29119/29119	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:47%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=578	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowReciped358.html	(from http://recept.mohem.se/)
19:45:50	23155/23155	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:47%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=650	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe065b.html	(from http://recept.mohem.se/)
19:45:51	23548/23548	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:48%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=111	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe682e.html	(from http://recept.mohem.se/)
19:45:54	24960/24960	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:52%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=517	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe1fbd.html	(from http://recept.mohem.se/)
19:45:54	22409/22409	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:52%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=313	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe8ebb.html	(from http://recept.mohem.se/)
19:45:55	22174/22174	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:52%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=314	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe6ee5.html	(from http://recept.mohem.se/)
19:45:56	22486/22486	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:55%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=539	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipefee3.html	(from http://recept.mohem.se/)
19:45:57	22439/22439	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:55%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=553	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe5919.html	(from http://recept.mohem.se/)
