date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:17	26607/26607	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:34%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=734	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0a17.html	(from http://recept.mohem.se/)
19:25:18	24114/24114	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:17%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=255	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe322d.html	(from http://recept.mohem.se/)
19:25:18	31174/31174	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:35%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=731	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe8f14.html	(from http://recept.mohem.se/)
19:25:19	31569/31569	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:36%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=730	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe7bf9.html	(from http://recept.mohem.se/)
19:25:19	30295/30295	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:36%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=729	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe3048.html	(from http://recept.mohem.se/)
19:25:20	47414/47414	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:37%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=721	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe688e.html	(from http://recept.mohem.se/)
19:25:20	29330/29330	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:21%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=686	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipec6aa.html	(from http://recept.mohem.se/)
19:25:21	25058/25058	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:37%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=612	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe6ba0.html	(from http://recept.mohem.se/)
19:25:21	29991/29991	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:34%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=735	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe549f.html	(from http://recept.mohem.se/)
19:25:22	24220/24220	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:40%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=640	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeb5d0.html	(from http://recept.mohem.se/)
19:25:23	23841/23841	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:42%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=285	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe7648.html	(from http://recept.mohem.se/)
19:25:23	24092/24092	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:44%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=669	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0efd.html	(from http://recept.mohem.se/)
19:25:23	24100/24100	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:42%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=402	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeb57f.html	(from http://recept.mohem.se/)
19:25:24	28045/28045	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:40%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=605	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipea41f.html	(from http://recept.mohem.se/)
19:25:25	30346/30346	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:46%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=425	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipec549.html	(from http://recept.mohem.se/)
19:25:25	25233/25233	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:45%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=490	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0f23.html	(from http://recept.mohem.se/)
19:25:25	213/213	U-----	200	untouched ('')	image/png	etag:%220996adda44ccc1:0%22	http://recept.mohem.se/Styles/grd_head.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/grd_head.png	(from http://recept.mohem.se/Styles/gvStyle.css)
19:25:25	29119/29119	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:47%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=578	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowReciped358.html	(from http://recept.mohem.se/)
19:25:25	190/190	U-----	200	untouched ('')	image/png	etag:%220996adda44ccc1:0%22	http://recept.mohem.se/Styles/grd_alt.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/grd_alt.png	(from http://recept.mohem.se/Styles/gvStyle.css)
19:25:25	23155/23155	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:47%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=650	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe065b.html	(from http://recept.mohem.se/)
19:25:26	189/189	U-----	200	untouched ('')	image/png	etag:%22802f3dea44ccc1:0%22	http://recept.mohem.se/Styles/grd_pgr.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/grd_pgr.png	(from http://recept.mohem.se/Styles/gvStyle.css)
19:25:26	5202/5202	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202017%2018:25:27%20GMT	http://recept.mohem.se/Styles/indicator.gif	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/indicator.21.delayed	(from http://recept.mohem.se/Styles/jquery.autocomplete.css)
19:25:26	5170/5170	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202017%2018:25:27%20GMT	http://recept.mohem.se/POST	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/POST.22.delayed	(from http://recept.mohem.se/WebResource.axd?d=xXX0wyUm9PSJNs-ccTmEYeUfAbn0HgoNdWjUromaxYbIP5ttLqRLcUNYXVPeKhSFPhXgAMHQaYazTbrFTRc5ceK34VE1&t=635398045310332500)
19:25:26	0/-1	---M--	302	error ('')			http://recept.mohem.se/ShowRecipe.aspx?command=new	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe.240c1f.delayed	(from http://recept.mohem.se/Account/Login.aspx)
19:25:26	0/-1	---M--	302	error ('')			http://recept.mohem.se/ShowMenu.aspx	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowMenu.25.delayed	(from http://recept.mohem.se/Account/Login.aspx)
